,Result,Duration,Champion,Type,Kills,Deaths,Assists,KDA Ratio,Multikill,Level,CS,CS per min,Kill Participation,Wards
27,Defeat,23,Ezreal,AD,1,2,3,2.0,0,13,205,8.8,29,3
28,Victory,27,Ezreal,AD,5,2,10,7.5,0,15,228,8.4,68,1
29,Victory,31,Sivir,AD,9,5,13,4.4,2,17,286,9.0,61,1
30,Defeat,29,Akali,AP,9,5,6,3.0,2,15,162,5.5,50,4
31,Victory,17,Mordekaiser,AP,6,2,3,4.5,4,11,102,5.7,32,0
32,Victory,16,Akali,AP,1,3,2,1.0,0,10,90,5.4,12,0
33,Victory,29,Ryze,AP,13,7,11,3.4285714285714284,2,17,253,8.6,60,6
34,Victory,20,Aatrox,AD,4,2,4,4.0,0,13,154,7.5,38,2
35,Victory,34,Draven,AD,17,12,13,2.5,2,17,173,5.0,61,1
36,Victory,15,Kalista,AD,14,4,3,4.25,2,9,99,6.5,71,1
37,Victory,23,Fiora,AD,6,2,4,5.0,2,15,195,8.4,48,2
38,Victory,29,Ryze,AP,5,9,12,1.8888888888888888,0,16,227,7.6,37,1
39,Defeat,20,Irelia,AD,1,6,4,0.8333333333333334,0,12,161,7.7,31,2
40,Defeat,15,Jax,AD,3,2,0,1.5,0,10,108,7.1,75,0
41,Victory,21,Jax,AD,3,3,5,2.6666666666666665,2,14,157,7.5,40,1
42,Defeat,30,Lucian,AD,1,6,10,1.8333333333333333,0,14,201,6.7,55,3
43,Victory,33,Renekton,AD,9,5,7,3.2,0,17,246,7.4,43,4
44,Defeat,23,Kennen,AP,1,6,1,0.3333333333333333,0,12,174,7.4,11,2
45,Defeat,35,Jax,AD,2,9,8,1.1111111111111112,0,18,258,7.3,32,0
46,Defeat,39,Kennen,AP,3,7,11,2.0,0,18,247,6.3,36,4
47,Defeat,23,Jax,AD,0,8,2,0.25,0,12,132,5.5,15,0
48,Defeat,26,Kennen,AP,3,6,3,1.0,0,14,179,6.7,33,3
49,Defeat,34,Jax,AD,2,6,4,1.0,0,17,235,6.8,26,0
50,Defeat,28,Lucian,AD,6,3,2,2.6666666666666665,2,14,314,10.8,42,1
51,Defeat,33,Kai'Sa,AD,5,2,3,4.0,3,15,326,9.9,44,3
52,Defeat,15,Tristana,AD,2,2,0,1.0,0,8,124,7.9,25,1
53,Defeat,17,Senna,AD,0,4,5,1.25,0,10,127,7.2,63,2
54,Victory,31,Heimerdinger,AP,9,3,9,6.0,0,17,291,9.2,53,4
55,Victory,25,Kai'Sa,AD,13,3,10,7.666666666666667,2,15,234,9.1,85,4
56,Defeat,37,Ashe,AD,5,6,12,2.8333333333333335,2,18,353,9.4,46,3
57,Victory,27,Caitlyn,AD,8,2,9,8.5,2,16,269,9.8,55,1
58,Victory,21,Ezreal,AD,3,2,8,5.5,0,13,199,9.4,42,3
59,Victory,28,Senna,AD,11,1,10,21.0,2,15,228,8.0,78,1
60,Defeat,33,Nocturne,AD,8,5,3,2.2,2,18,269,8.1,61,4
61,Defeat,15,Olaf,AD,1,3,1,0.6666666666666666,0,10,103,6.6,25,3
62,Defeat,9,Evelynn,AP,3,2,0,1.5,0,5,24,2.4,100,4
63,Victory,25,Gragas,AP,4,3,12,5.333333333333333,0,14,166,6.5,70,5
64,Defeat,29,Nautilus,AP,5,9,17,2.4444444444444446,0,13,39,1.3,50,10
65,Victory,26,Lee Sin,AD,7,2,8,7.5,2,13,139,5.3,63,8
66,Victory,38,Elise,AP,8,4,16,6.0,0,18,239,6.3,56,11
67,Victory,17,Nautilus,AP,5,4,11,4.0,0,10,27,1.5,57,5
68,Victory,29,Lucian,AD,3,6,8,1.8333333333333333,0,16,233,8.0,34,3
